Time_from_start, RA, dec, DM, SNR, DM_corr, SNR_corr, “ı1000_ , S_o, S_o50
17859.6, 14.81, -11.92, 18.29, 6.42, 18.29, 11, 34, 40.2, 20.1
38259.8, 17.92, -10.47, 14.07, 6.01, 14.072, 11, 81, 91.6, 45.8
33798.5, 19.23, -10.31, 11.76, 6.3, 11.756, 11, 88, 99, 49.5
13423.8, 0.95, -9.66, 9.66, 6.35, 9.664, 11, 30, 33.1, 16.5
33331, 6.75, -1.08, 13.5, 6.03, 13.5, 11, 43, 38.1, 19.1
38308, 8.26, 1.24, 16.96, 6.07, 16.962, 11, 27, 22.8, 11.4
29428.1, 5.79, 2.41, 8.95, 6.33, 8.952, 11, 37, 30.6, 15.3
12280.4, 1.36, 15.55, 4.73, 6.66, 4.728, 11, 35, 23.6, 11.8
17774.3, 15.85, 17.5, 16.55, 6, 16.55, 11, 66, 43.6, 21.8
1601.89, 19.03, 23.49, 5.66, 6.74, 5.662, 11, 77, 47.9, 24
8669.74, 20.99, 23.49, 2.66, 6.03, 2.664, 11, 62, 38.6, 19.3
12556, 11.52, 24.85, 11.45, 6.1, 11.45, 11, 32, 19.7, 9.8
7924.34, 8.54, 26.47, 25.56, 6.25, 25.556, 11, 27, 16.4, 8.2
1364.44, 19.01, 27.3, 12.07, 6.59, 12.07, 11, 75, 45.3, 22.6
35977.4, 4.69, 29.75, 9.61, 6.29, 9.61, 11, 53, 31.5, 15.7
37268.7, 16.95, 33.78, 13.81, 6.11, 13.806, 11, 45, 26.1, 13.1
13866.1, 22.19, 39.62, 26.79, 6.4, 26.78, 11, 58, 32.8, 16.4
31175.7, 19.09, 49.71, 26.4, 6.01, 26.404, 11, 53, 29.5, 14.8
427.033, 11.88, 58.93, 5.63, 6.06, 5.632, 11, 30, 16.9, 8.5
27790, 16.82, 70.76, 10.39, 6.34, 10.388, 11, 38, 22.6, 11.3
39518.6, 19.13, 72.86, 17.13, 6.17, 17.13, 11, 45, 27.2, 13.6
22491.6, 14.4, 74.14, 8.54, 6.8, 8.534, 11, 32, 19.5, 9.8
36515, 17.67, 74.5, 21.27, 6.16, 21.268, 11, 36, 22, 11
31998.6, 6.7, 9.23, 10.48, 6.25, 10.484, 11.1, 44, 32.7, 16.3
20320.4, 0.23, 24.79, 14.2, 6.16, 14.2, 11.1, 36, 22.4, 11.2
19193.9, 0.36, 36.52, 12.84, 6.16, 12.84, 11.1, 44, 25.4, 12.7
45798.9, 7.06, 39.22, 11, 6.09, 11, 11.1, 45, 25.8, 12.9
14193.3, 11.24, -10.47, 10, 5.93, 10, 11.2, 27, 31.1, 15.5
30767.6, 5.84, -6.82, 7.45, 6.51, 7.448, 11.2, 33, 34.2, 17.1
37241.6, 4.93, 23.93, 7.95, 6.26, 7.95, 11.2, 47, 29.7, 14.8
12580.8, 10.06, 43.14, 25.54, 6.56, 25.54, 11.2, 22, 12.6, 6.3
27107, 4.89, -2.88, 11.06, 6.02, 11.066, 11.3, 29, 27.5, 13.8
21924.6, 0.79, 29.75, 14.5, 6.41, 14.504, 11.3, 42, 25.6, 12.8
19817.3, 12.01, 41.16, 15.35, 5.51, 15.35, 11.3, 29, 16.8, 8.4
25713.4, 4.37, -11.23, 23.26, 6.24, 23.26, 11.4, 27, 32.4, 16.2
4090.84, 23.02, 11.75, 10.04, 6.09, 10.042, 11.5, 42, 31.1, 15.6
1738.8, 7.17, 18.75, 11.26, 6.22, 11.272, 11.5, 47, 32, 16
14495.6, 22.46, 21.8, 12.33, 6.09, 12.33, 11.5, 45, 29.7, 14.9
14231.4, 11.98, 24.41, 18.72, 6.61, 18.72, 11.5, 31, 20, 10
35730.3, 4.75, 32.17, 7.28, 6.22, 7.286, 11.5, 56, 34.3, 17.1
315.335, 6.66, 43.14, 21.02, 6.29, 21.022, 11.5, 47, 27.6, 13.8
9916.98, 10.18, 67.12, 2.65, 6.02, 2.654, 11.5, 32, 19.5, 9.8
1468.37, 7.83, 67.94, 18.9, 6.12, 18.9, 11.5, 38, 23.3, 11.6
5311.52, 20.73, 68.23, 10.51, 6.08, 10.51, 11.5, 57, 35, 17.5
30973.8, 16.13, 74.5, 13.92, 6.02, 13.916, 11.5, 36, 23, 11.5
26157.4, 1.96, 29.34, 27.06, 6.01, 27.058, 11.7, 45, 28.5, 14.2
30297.7, 18.26, -11.92, 14.07, 6.41, 14.072, 11.8, 75, 95.2, 47.6
23810.1, 4.5, 11.75, 3.68, 6.17, 3.676, 11.8, 37, 28.2, 14.1
34678, 4.4, 31.35, 8.21, 6.34, 8.21, 11.8, 45, 28.4, 14.2
